variant,seed,episodes_completed,stopped_early,final_reward,final_xi_50,early_reward_500,auc_reward_500,auc_reward_1000,convergence_episode,duration_hours,final_model_loss_50,final_delivered_50,final_received_50,final_total_energy_50,final_collisions_50,collision_events_per_episode,final_forward_receive_ratio_50
k1_w32,42,2833,True,530.8605111182087,0.01771326685344093,321.3973804722601,321.9796317500048,364.026448785748,1254.0,15.105605991747645,4.512229075148019,321.0566792540945,799.2659046339837,18123.220002241746,0.0,0.0,0.4016894470196616
k1_w32,123,2779,True,688.8583558599644,0.022981187172786747,441.66030222460944,440.07771153915587,486.3012373592191,1270.0,14.816613403823641,17.90061137398531,416.6147804033178,753.260280139838,18121.353179267164,0.0,0.012234616768621807,0.5530821037397272
k1_w32,2026,3728,True,318.7320836450537,0.01063690853467112,363.581121145295,363.2317497661315,385.9869301028877,1011.0,19.656271645360523,20.193649086205788,192.75769505281806,415.32485502335425,18120.991671949356,0.0,0.0,0.46411307370944377
k1_w32,3407,3799,True,460.9204923901158,0.01536657409867275,378.5156411352396,378.07923452866953,419.0940589589554,1989.0,19.939686324066585,21.20742200797547,278.75957092020786,475.7565830909352,18135.693421739834,0.0,0.005001316135825217,0.585928983071846
k1_w32,8888,4752,True,401.07892936979886,0.01338047037628107,327.9816420077014,328.4888735554146,402.4535259659681,885.0,24.93315228700638,46.60431697628283,242.57167150857924,401.30269801512213,18120.415339381485,0.0,0.0,0.6044606046965538
k5_w32,42,2786,True,438.93064925842344,0.014649498935796172,461.9078133748873,462.0011633364117,488.4764832171619,1042.0,24.69115703569518,34.127072263378494,265.49393845726007,604.9070270118348,18121.593610140746,0.0,0.01399856424982053,0.4389004038666355
k5_w32,123,3750,True,386.8522448128656,0.012910809643939314,312.26444240638136,311.0396700601586,338.408792418242,2274.0,33.79802196052339,30.084809224311943,233.965569278939,631.0878408243898,18121.50044221028,0.0,0.008533333333333334,0.3707337618378289
k5_w32,2026,5430,True,618.4147904302868,0.020616513779605352,363.1522208636154,363.6193919276008,407.61069472187415,3741.0,48.0610225921207,20.704666125175326,374.00227883769736,684.5483812114442,18140.52004308426,0.0,0.0,0.5463489347178444
k5_w32,3407,4156,True,480.2820186333091,0.01601096695591083,399.094574812333,399.09799289684094,446.80040727545816,4001.0,37.05500947601266,14.046164439509873,290.4651702670159,530.0798858178938,18141.027670101077,0.0,0.007459095283926853,0.5479648974396355
k5_w32,8888,6067,True,628.7096035195395,0.02095915495803309,361.13021295904406,361.68266318577673,418.67619543474643,1372.0,50.69067083186574,3.570618404094363,380.2279382004635,744.6512039703907,18140.831702865242,0.0,0.013680567001813087,0.510612131120092
