variant,algo,episodes,reward_auc,reward_last_50,xi_last_50,data_sent_last_50,data_received_last_50,energy_last_50,collisions_per_episode,duration_seconds,reward_auc_vs_default_pct,reward_last_50_vs_default_pct,xi_last_50_vs_default_pct,data_sent_last_50_vs_default_pct,energy_last_50_vs_default_pct,duration_seconds_vs_default_pct
cop_balanced,cop_maddpg,200,175.45568964766957,252.49880698378615,0.008417283220366074,152.70206960531937,325.874091327628,18138.921647478375,0.0,1501.225515127182,19.60525884781447,2.912183092617884,2.9205715025372054,2.913573488110203,-0.028921349291331565,-0.18105888521652938
cop_conservative,cop_maddpg,200,298.96574208073275,273.14888799310665,0.009105143557832675,165.18734322405183,283.2339172387847,18143.735707318436,0.0,1504.6733286380768,103.80003087959092,11.328638374503814,11.331240027352726,11.328024761767516,-0.002389079939652022,0.048191877144516615
cop_default,cop_maddpg,200,146.69563139436795,245.35365920334698,0.00817842642873254,148.37894014336342,248.5902393904898,18144.169186024676,0.0,1503.9485476016998,0.0,0.0,0.0,0.0,0.0,0.0
matd3_balanced,matd3,200,181.19645819165638,235.3352975625293,0.007853810327667595,142.31935549856382,303.6219650053963,18121.24882215366,0.0,1152.4291279315948,3.1597535021198984,11.039298665411872,11.166168182023716,11.037091254248079,-0.11229063077175859,0.4448924319124948
matd3_conservative,matd3,200,250.2665422199744,429.03639208038015,0.014313943515905687,259.45054637340894,480.23015211682304,18123.771608190193,0.0,1150.6944069862366,42.48310956460664,102.4341463944057,102.60563800879538,102.42245963458882,-0.09838456276887461,0.29369540423181273
matd3_default,matd3,200,175.64646292794103,211.93874636370964,0.00706492852646297,128.17280594345445,240.41015896451339,18141.620161865634,0.0,1147.3247668743134,0.0,0.0,0.0,0.0,0.0,0.0
